Event 138712468,81.6338,71.8189,51.2717,49.1076,41.73,39.9827,17.4016,11.0809,10.9246,10.7407
Event 138712481,88.7821,70.5942,55.882,53.8761,49.5211,36.5344,36.3639,29.7224,27.4721,22.5796,15.7099,10.201,9.95551,6.05328
Event 138712459,62.0842,60.1261,51.3862,50.112,29.0906,15.2827,10.682,5.18356
Event 138712494,88.1153,82.9664,42.2494,23.9943,19.8979,16.6065,14.0708,13.279,11.5895,11.1538,10.2818,8.83267,5.61608,5.52506
Event 138712447,74.9025,52.2503,21.4753,19.9255,17.5048,17.3626,15.9731,15.1737,13.9402,13.1581,11.6227,10.6909,10.2545,10.2254,7.73944
Event 138712475,127.654,125.354,97.0624,80.9048,42.6325,33.2003,21.846,17.394,16.4363,12.0195,11.3276,11.2786,10.7884,10.3899,8.88517,7.18651,5.45885
Event 138712514,180.162,64.5472,45.2051,21.8831,18.6034,16.0223,15.1734,14.1277,13.7138,12.3777,12.3461,11.9115,10.1331,5.56071
Event 138712526,186.126,138.248,113.21,40.6766,23.4567,20.0712,13.8256,12.1956,11.8272,11.523,10.1617,7.00447
Event 138712483,138.714,113.829,48.9396,46.2216,45.1613,29.6166,21.8071,19.6653,18.9167,15.4149,15.364,11.9487,11.1602,11.0452,8.03426,6.48334,5.18903
Event 138712542,101.141,77.4062,64.1969,42.2849,29.7605,17.191,12.7694,12.7465,11.3141
Event 138712537,136.285,107.361,37.654,14.7371,6.15197
Event 138712467,181.478,106.299,101,57.1842,53.4691,22.8962,18.7502,18.469,15.1212,12.835,12.6553,12.6126,11.5958,11.5875,10.8783,10.0479,9.29425,5.16116
Event 138712541,88.5688,40.505,35.0536,33.2331,14.9774,14.4719,14.2876,12.3946,11.5588,11.4004,10.1429
Event 138712484,88.4525,40.1674,38.8388,20.6929,18.1572,15.3829,14.3359,13.4095,13.2173,13.0535,11.5114,10.7934,7.20236,6.22826,5.76423
Event 138712543,148.355,82.2504,81.0961,50.4734,32.7351,29.3313,14.963,11.4098,10.2528,7.31337,5.2331
Event 138712562,77.4844,51.5911,46.0841,15.1352,15.0658,13.2886,13.2636,12.0986,12.093,12.0565,11.9091,9.51251,9.41849,9.31448,9.12232,8.69107,7.65615,5.94166,5.25698,5.1864
Event 138712510,152.313,123.484,49.1875,41.264,32.0636,23.5681,22.6523,17.5554,17.0231,16.2965,14.7626,14.1191,13.9171,9.18529,6.85281,5.55437
Event 138712544,76.8083,68.2448,55.9519,22.9548,22.9521,19.2901,14.0426,12.1913,11.8606,11.2731,7.51571,7.31936,5.74474,5.03244
Event 138712482,95.858,36.0705,29.2731,25.2831,24.0076,19.4556,18.8063,17.4706,15.8633,14.8517,14.016,13.3475,12.8657,12.2479,12.1152,11.6069,9.58345,7.52452,6.9969,5.51416,5.22316
Event 138712561,74.6828,65.2281,41.8985,31.5708,30.0753,27.5826,19.4479,18.3458,15.8191,15.2756,12.2764,12.0461,11.7381,11.1407,5.82381
Event 138712566,127.327,122.898,97.6356,35.5389,33.7688,30.0256,29.4202,20.6368,16.9479,13.5678,10.9914,10.6005,10.2993,9.02564,5.37981
Event 138712580,60.9757,47.3256,42.3392,36.2025,18.2215,15.1368,14.1344,12.8509,12.3113,11.228,5.7145,5.27624,5.05633
Event 138712532,114.01,93.7465,92.8293,27.6068,21.449,19.2344,18.8005,17.2261,15.3802,15.3026,15.2244,15.1659,15.0315,12.54,12.1739,11.6986,11.4254,11.2805,11.2279,10.6303,8.40498,6.45159,5.62813
Event 138712594,191.893,119.04,102.301,101.783,88.3493,68.0756,42.9618,21.5553,18.2685,18.1766,14.2663,12.3966,11.7564,7.89884,6.0342
Event 138712584,189.347,153.379,50.0981,22.7996,19.705,13.8427,13.3612,13.2639,12.8063,12.4485,11.5072,10.5418,10.278,9.45938,5.20893
Event 138712602,156.039,99.1055,52.138,42.7053,40.2924,39.1533,18.0802,14.1178,12.2244,11.1938,10.345,7.37932,7.16739
Event 138712598,214.721,194.418,74.9545,47.2923,29.6512,27.748,12.3127,11.9234,10.501,7.08136,6.9502,5.16059
Event 138712556,226.326,213.736,100.066,30.3475,28.5564,20.2473,19.704,16.8965,15.8241,14.9089,12.5831,12.3161,12.0208,11.9319,11.7973,11.1693,10.8653,10.5186,9.7074,9.20309,5.43949
Event 138712600,104.425,100.831,78.9373,60.7738,56.8511,56.4022,34.3632,12.3506,11.2529,10.183,7.39126
Event 138712599,68.5981,63.6927,63.2612,23.1209,21.3629,20.3303,20.1615,15.9313,15.5843,15.1247,13.7589,11.4069,10.9745,10.4895,10.2549,10.0157,5.56482
Event 138712595,95.9004,83.3019,73.1295,27.4128,19.3277,17.4146,13.7423,11.7938,11.6298,11.123,11.046,10.7921,10.5212,10.4924,9.06546,7.90501
Event 138712575,144.949,100.803,65.8027,44.555,37.8706,24.1412,18.6433,16.9367,13.8201,10.9903,10.2742,9.81856,7.83093,5.04876
Event 138712563,162.531,47.1522,32.6991,23.6408,20.188,18.9733,18.691,17.7342,15.7141,15.0704,14.5753,14.1817,11.5487,10.6296,7.12446,5.8801,5.49977
Event 138712603,55.9613,26.6327,21.4639,19.9406,16.4334,15.1367,14.79,12.6601,12.2935,11.8588,10.7833,9.08677,5.49134,5.40597
Event 138712614,105.985,46.5803,36.5205,20.7195,19.0084,18.7629,15.8768,14.7183,14.1637,14.0313,12.3371,8.26979,8.05194,6.27005,5.67254,5.01859
Event 138712618,129.243,80.8159,34.8453,25.8607,14.9643,14.5586,13.5076,13.4042,12.4032,12.2405,11.6451,11.573,11.5142,11.298,10.784,10.5486,8.50174
