Event 138712494,0.0853699
Event 138712537,0.788693
Event 138712482,0.410118
Event 138712598,-0.042322
Event 138712615,0.816855
Event 138712577,1.33032
Event 138712720,-1.20055
Event 138712710,1.78631
Event 138712754,-1.07258
Event 138712764,-1.83845
Event 138712828,2.14278
Event 138712874,-0.551369
Event 138712884,0.640281
Event 138712932,0.494057
Event 138712946,0.256452
Event 138712927,0.368126
Event 138712995,1.53868
Event 138713168,0.489908
Event 138713202,0.144145
Event 138713197,1.56468
Event 138713301,-0.696022
Event 138713344,1.95959
Event 138713409,-1.11077
Event 138713465,1.5137
Event 138713500,0.352271
Event 138713580,0.973064
Event 138713639,-1.93773
Event 138713604,0.0564607
Event 138713604,-0.302163
Event 138713788,-0.369826
Event 138713747,-0.598376
Event 138713782,-0.892269
Event 138713832,-1.07216
Event 138713874,1.26453
Event 138713909,1.47825
Event 138713918,-1.37068
Event 138713968,-0.452917
Event 138713973,-0.242164
Event 138713940,0.41937
Event 138714072,0.238044
Event 138713993,-1.36518
Event 138714076,-2.09486
Event 138714076,-2.1478
Event 138714124,1.67347
Event 138714120,-1.40727
Event 138714343,1.84258
Event 138714311,-0.451206
Event 138714427,-0.481424
Event 138714481,-1.33946
Event 138714529,0.688337
Event 138714558,-1.84456
Event 138714615,0.243654
Event 138714706,-1.98998
Event 138714714,-0.251168
Event 138714743,-0.811209
Event 138714845,0.278921
Event 138714873,0.551387
Event 138714869,-0.368914
Event 138714882,1.46981
Event 138714952,-1.53212
Event 138714938,0.460307
Event 138714938,-1.10081
Event 138714943,0.371883
Event 138715025,-1.57377
Event 138715003,0.766491
Event 138715061,-1.54973
Event 138715260,-0.0720556
Event 138715432,-0.319457
Event 138715452,1.30458
Event 138715481,1.89257
Event 138715564,-2.25544
Event 138715600,0.243198
Event 138715574,-0.952733
Event 138715660,0.701877
Event 138715680,-1.53777
Event 138715707,-0.0970394
Event 138715752,0.679579
Event 138715732,0.50384
Event 138715827,2.10107
Event 138715869,1.34505
Event 138715928,0.171464
Event 138715921,-0.921576
Event 138715993,0.490891
Event 138716017,1.72106
Event 138716076,1.84453
Event 138716108,-0.420325
Event 138716090,1.94676
Event 138716142,-1.18825
Event 138716285,-0.246945
Event 138716370,1.62937
Event 138716518,1.22876
Event 138716579,0.466922
Event 138716536,0.136935
Event 138716638,1.41456
Event 138716737,1.79276
Event 138716762,2.16631
Event 138716762,2.09704
Event 138716807,-0.692676
Event 138716845,-1.23507
Event 138716863,-0.0092428
Event 138716874,0.947104
Event 138716880,-2.17274
Event 138716948,-0.944527
Event 138716917,1.08428
