Event #,Value only in UCSB
Event 144735004,31.016
Event 144735074,57.0801
Event 144735077,26.2482
Event 144735150,25.4748
Event 144735175,57.9222
Event 144735183,31.6648
Event 144735254,28.8439
Event 144735326,27.3519
Event 144735387,63.4106
Event 144735407,32.8246
Event 144735439,43.1863
Event 144735533,20.0708
Event 144735517,87.8074
Event 144735618,72.4354
Event 144735622,43.0728
Event 144735732,52.096
Event 144735648,30.9233
Event 144735773,60.6246
Event 144735767,21.7004
Event 144735791,58.4685
