Event #,Value only in UCSB
Event 144734895,1.94646
Event 144734880,-0.188433
Event 144734885,2.24058
Event 144734982,2.35841
Event 144735004,-0.179515
Event 144735074,1.07437
Event 144735077,0.463758
Event 144735150,-0.868061
Event 144735175,0.900969
Event 144735183,0.633053
Event 144735254,0.628492
Event 144735326,1.52444
Event 144735387,-1.22915
Event 144735407,1.24549
Event 144735439,0.834636
Event 144735533,1.27177
Event 144735517,-0.378827
Event 144735618,1.18245
Event 144735622,-0.598182
Event 144735732,-0.359274
Event 144735648,0.38226
Event 144735773,0.961403
Event 144735767,0.483485
Event 144735791,0.363118
